category,name,unit,weight_grams,expiry,alert_lead_days,condition,notes,barcode,is_essential
shelter_clothing,Adjustable Neck Gaiter,pcs,35,,,New,Bushcraft kit,,true
shelter_clothing,Aluminum Alloy Tent Rope 10 Buckles,pcs,27,,,New,Bushcraft kit,,true
shelter_clothing,Aluminum Alloy Tent Rope 10 Buckles,pcs,27,,,New,Bushcraft kit,,true
shelter_clothing,Breathable Gloves for Heavy Duty - Army Green,pcs,93,,,New,Bushcraft kit,,true
shelter_clothing,Cape Style 3-in-1Raincoat - Army Green,pcs,80,,,New,Bushcraft kit,,true
shelter_clothing,Emergency Blanket,pcs,63,,,New,Bushcraft kit,,true
shelter_clothing,Emergency Blanket,pcs,63,,,New,Bushcraft kit,,true
shelter_clothing,Emergency Blanket,pcs,63,,,New,Bushcraft kit,,true
shelter_clothing,Emergency Sleeping Bag,pcs,125,,,New,Bushcraft kit,,true
shelter_clothing,Emergency Sleeping Bag - Green,pcs,112,,,New,Bushcraft kit,,true
shelter_clothing,Emergency Sleeping Bag - Orange,pcs,125,,,New,Bushcraft kit,,true
shelter_clothing,Heavy Duty Emergency Rain Poncho with Hood,pcs,300,,,New,Bushcraft kit,,true
shelter_clothing,Light Duty Emergency Rain Poncho,pcs,87,,,New,Bushcraft kit,,true
shelter_clothing,Outdoor Camping Tent Ground 10 Nails - Yellow,pcs,57,,,New,Bushcraft kit,,true
shelter_clothing,Outdoor Camping Tent Ground 10 Nails - Yellow,pcs,57,,,New,Bushcraft kit,,true
shelter_clothing,Picnic Mat Multifunctional Floor Cloth,pcs,280,,,New,Bushcraft kit,,true
shelter_clothing,Quick Assemble Easy Tent - Green Life Tent,pcs,227,,,New,Bushcraft kit,,true
shelter_clothing,Quick Assemble Easy Tent - Orange Life Tent,pcs,227,,,New,Bushcraft kit,,true
shelter_clothing,Space Souls Camo Boonie Hat,pcs,78,,,New,Bushcraft kit,,true
